Maďarsko,348,HU,HUN,863,201,40,171,46,47,42,52,55,32,158,39,24,20,75,18,89,21,33,23,41,27,13,109,13,23,7,45,13,44,14,23,14,32,19,12,66,13,22,1,46,14,46,16,23,14,32,22,11,71,14,23,2,199,39,171,46,46,41,51,55,29,153,39,24,18,71,16,72,18,31,21,38,27,12,105,13,22,6,63,16,66,18,30,18,38,25,12,98,14,22,6,60,15,59,17,29,16,39,24,12,98,14,22,6,52,14,53,17,28,15,37,21,12,81,14,23,6,57,15,56,17,29,15,38,22,13,97,14,22,6,93,20,115,25,41,29,40,29,19,116,15,23,8,50,14,47,17,24,15,34,20,11,72,14,23,6,85,17,103,22,36,25,41,28,15,113,14,23,7,194,40,167,47,46,40,50,53,30,152,39,22,15,84,16,99,21,35,24,44,28,13,110,13,23,7,53,16,50,16,26,15,37,21,12,79,14,23,6,8274
Moldavsko,498,MD,MDA,327,199,28,65,16,47,49,29,15,27,72,24,7,20,116,20,57,18,36,44,25,18,25,51,27,7,13,113,21,57,15,39,36,22,11,27,52,28,7,14,119,21,58,16,38,37,23,16,28,51,29,8,13,197,29,63,17,47,48,28,15,26,68,24,7,20,116,21,56,18,37,44,25,18,25,53,27,7,13,120,21,60,18,37,43,25,18,25,52,27,7,13,115,23,63,18,36,44,25,18,24,51,26,7,13,120,23,63,18,38,40,25,17,25,51,27,7,13,114,23,63,19,35,43,25,17,24,52,26,7,13,123,24,56,17,37,44,26,17,26,51,25,7,14,115,23,57,17,38,37,24,16,28,50,29,8,13,117,21,57,18,36,45,25,17,26,50,26,8,12,198,30,63,17,47,47,28,15,25,66,24,7,20,117,21,54,18,36,45,25,18,25,50,27,7,13,119,23,56,17,38,38,25,16,25,51,27,7,13,7738
Itálie,380,IT,ITA,912,116,24,33,21,39,9,10,15,6,86,26,53,40,80,25,29,19,44,12,7,14,5,90,31,46,36,64,20,27,21,43,11,9,14,5,81,31,57,39,66,20,27,20,42,10,8,13,5,87,31,55,38,114,24,34,20,39,8,10,15,6,90,25,54,39,78,25,27,20,42,11,7,14,5,89,31,48,38,73,26,27,19,41,11,7,14,5,88,31,48,38,69,25,26,18,42,11,8,14,5,87,32,48,40,66,24,26,18,43,11,8,14,5,85,32,46,40,68,24,27,18,42,11,8,15,5,86,32,48,39,87,26,32,17,41,13,8,15,6,93,30,50,38,64,20,27,20,42,11,9,13,5,86,31,55,39,83,27,32,18,43,12,8,14,6,90,31,49,37,115,23,34,20,41,8,11,16,6,90,27,56,40,84,26,30,19,44,12,7,14,5,89,31,48,37,65,22,26,19,43,11,9,14,5,88,32,52,39,7053
Spojené státy,840,US,USA,1266,127,44,33,9,30,21,17,15,11,62,29,45,21,104,43,27,6,30,20,21,14,9,56,22,38,23,83,38,19,7,23,22,17,13,10,62,24,30,19,86,42,17,6,23,22,17,13,10,65,24,30,19,124,43,32,10,31,21,18,16,12,65,28,45,22,98,39,27,7,30,22,21,12,10,58,22,36,22,101,39,26,7,29,23,21,12,8,55,22,34,22,97,40,26,7,29,23,21,13,9,55,23,35,21,90,39,24,7,25,23,20,11,8,53,23,34,19,92,40,25,7,28,23,22,13,9,54,24,36,19,123,42,26,5,29,21,21,15,12,68,25,42,23,87,40,19,6,22,22,18,13,10,63,24,32,18,114,40,27,6,30,19,17,14,11,58,25,42,22,126,43,33,10,30,21,18,16,12,69,27,46,22,109,41,27,5,29,19,18,14,10,60,24,40,22,87,39,19,6,25,23,18,12,9,57,24,33,19,6568
Rakousko,040,AT,AUT,145,20,80,5,25,33,6,3,5,9,120,11,7,20,21,103,5,20,33,7,4,4,7,124,18,10,24,23,108,3,20,35,7,4,5,6,121,16,10,24,23,108,3,20,35,8,4,5,6,121,16,10,24,19,81,4,25,33,6,4,5,9,119,12,7,20,25,108,5,20,33,6,4,4,7,125,18,10,24,25,109,5,20,34,6,4,4,7,124,18,10,24,24,111,5,20,35,6,4,4,7,121,17,11,24,23,111,5,21,36,7,4,4,7,120,16,11,24,24,111,5,20,35,6,4,4,7,120,16,11,24,20,101,4,22,31,7,4,4,7,124,16,11,23,22,111,4,21,36,8,4,5,6,121,17,12,24,21,102,5,21,32,7,4,4,7,123,18,10,24,19,80,4,25,33,7,4,5,8,119,12,7,20,21,101,5,20,32,7,4,4,7,123,18,10,24,22,113,5,21,36,8,4,5,7,120,16,11,24,6031
Bělorusko,112,BY,BLR,603,124,19,42,31,41,14,19,23,17,57,19,25,14,77,15,29,28,41,10,16,20,15,27,14,17,14,58,14,30,24,47,10,14,15,15,29,12,16,11,62,14,33,24,48,10,14,15,14,32,12,16,11,120,19,40,30,40,14,19,23,16,61,18,24,14,71,14,26,29,44,10,15,19,16,28,13,18,14,70,13,27,29,41,10,15,18,15,30,13,18,13,65,13,27,29,47,10,15,18,15,30,12,16,12,63,13,27,29,58,10,15,16,15,28,11,16,12,63,13,27,29,55,10,15,18,15,30,12,16,12,89,13,30,28,34,10,15,19,16,35,16,17,15,63,14,33,24,57,10,14,15,15,30,12,16,12,77,14,29,29,35,10,16,19,15,30,17,17,13,111,20,40,30,40,14,18,23,16,61,18,25,14,78,13,30,28,38,10,16,18,15,28,15,17,13,63,14,30,27,59,10,15,15,15,30,11,16,12,5411
Kazachstán,398,KZ,KAZ,648,128,3,6,27,68,12,6,4,4,41,7,5,4,95,2,4,26,52,11,7,3,3,9,8,3,1,87,3,5,24,42,10,6,2,4,7,7,3,1,85,4,5,25,44,10,6,2,4,7,7,4,1,126,3,8,27,70,10,7,5,4,45,7,5,4,92,2,5,28,48,10,7,3,3,9,8,4,1,93,2,5,27,48,10,7,3,3,9,8,4,1,89,2,5,27,48,9,7,3,3,9,7,3,1,86,2,4,27,47,9,7,2,4,8,8,3,1,91,2,5,26,47,9,7,2,4,7,8,3,1,96,1,6,27,59,10,7,4,3,16,8,3,1,84,4,5,26,44,10,6,2,4,7,7,4,1,95,2,4,27,55,10,7,3,3,10,8,4,1,125,2,8,29,66,10,7,5,3,43,8,5,3,96,2,4,27,52,11,7,3,3,10,8,3,1,87,3,5,27,46,9,6,2,4,8,8,3,1,3762
Chorvatsko,191,HR,HRV,258,45,12,16,14,20,6,4,5,4,34,16,27,11,34,9,15,14,19,7,2,7,4,28,18,24,15,31,5,15,18,18,7,2,8,3,27,18,24,15,31,5,15,18,18,7,2,8,3,29,18,25,14,44,12,16,14,19,6,4,5,3,33,16,28,12,34,9,14,15,18,7,2,7,4,29,18,24,15,34,9,14,15,18,7,2,7,4,28,17,24,15,32,8,14,16,19,8,2,7,4,27,17,23,15,31,6,15,18,19,8,2,7,4,28,18,25,15,32,8,14,17,19,8,2,7,4,25,17,23,15,31,10,15,14,22,6,3,8,4,31,17,24,14,31,6,15,18,19,8,2,8,4,30,18,25,14,32,10,15,14,20,6,3,8,4,29,18,24,14,44,10,16,14,19,5,4,6,3,35,16,29,13,32,10,15,14,20,6,3,8,4,28,18,24,15,31,6,15,18,19,8,2,8,4,29,18,24,15,3177
Arménie,051,AM,ARM,209,46,2,5,4,26,7,3,3,22,69,2,11,3,31,2,4,8,31,7,4,3,19,71,2,11,2,23,2,5,8,33,6,4,3,19,69,2,13,2,26,2,5,8,33,6,4,3,20,69,2,13,2,47,2,5,4,25,7,3,3,22,70,2,11,3,31,2,4,8,31,7,4,3,19,74,2,11,2,31,2,4,8,30,6,4,3,19,74,2,11,2,29,2,4,8,31,6,4,3,19,75,2,12,2,28,2,5,8,32,6,4,2,20,73,2,11,2,30,2,5,8,31,6,4,3,19,74,2,12,2,34,2,4,8,31,7,4,4,19,72,2,10,2,25,2,5,8,33,6,4,2,21,73,2,12,2,34,2,4,8,31,7,4,5,18,72,2,11,2,45,2,4,4,26,8,3,3,22,69,2,11,3,34,2,4,8,31,7,4,4,19,71,2,11,2,26,2,5,8,32,6,4,2,21,72,2,13,2,3158
Francie,250,FR,FRA,654,63,13,27,7,7,6,8,13,10,49,12,20,9,55,15,16,4,7,4,5,10,7,32,9,17,10,47,13,14,5,6,3,2,11,7,28,10,14,9,49,14,14,5,7,4,2,11,7,31,10,14,10,59,13,27,6,8,5,8,13,10,49,11,20,9,54,15,16,4,8,4,5,10,7,32,10,17,10,54,14,16,4,8,4,3,10,7,35,10,15,10,53,13,16,4,8,4,3,10,7,34,10,14,10,49,13,15,4,7,4,3,10,7,32,10,16,9,50,13,16,4,8,4,3,10,7,34,10,14,9,59,17,17,4,6,4,6,11,7,34,9,21,11,49,14,14,6,6,4,2,10,7,32,10,14,9,58,15,16,4,6,3,5,11,7,34,9,19,10,59,13,25,6,7,5,9,12,9,48,11,20,9,56,14,16,4,6,4,5,11,7,33,9,18,10,49,13,14,6,6,4,2,10,7,32,11,15,9,3133
Nizozemsko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,14,5,19,19,18,11,7,23,9,5,6,29,24,12,6,18,19,14,7,7,22,9,4,8,30,23,12,6,18,20,14,7,7,21,9,4,8,40,23,15,4,22,19,24,13,10,25,10,5,6,34,23,14,6,19,19,19,11,7,22,9,5,6,33,23,13,6,17,19,18,10,7,22,9,6,6,32,24,13,6,17,21,18,10,7,22,9,5,6,32,24,14,6,17,21,15,9,7,22,9,4,7,32,24,13,6,16,21,15,9,7,22,9,4,6,38,22,14,5,17,22,22,11,7,24,9,5,6,30,24,12,6,18,20,14,9,7,21,10,4,8,36,23,14,5,17,20,20,11,7,24,9,5,6,39,24,15,4,21,18,22,13,10,26,10,5,6,35,22,14,5,17,19,19,11,7,24,9,5,6,31,25,14,6,17,20,16,9,7,21,9,4,7,2886
Mongolsko,496,MN,MNG,118,25,6,20,12,92,43,19,15,20,35,11,3,20,13,3,11,13,11,12,13,4,11,36,9,3,13,10,1,12,12,11,11,13,2,9,40,10,3,12,10,1,12,11,9,11,14,3,9,39,10,4,12,24,6,16,14,86,43,19,15,17,33,11,3,19,12,2,11,12,11,13,13,4,12,36,10,3,13,12,2,9,12,10,13,13,4,12,36,10,3,13,13,2,9,12,8,12,13,3,12,37,10,3,14,12,1,8,11,8,12,13,4,10,34,10,3,13,13,1,9,11,8,12,13,4,11,34,10,3,15,12,3,11,15,27,21,13,3,13,37,8,3,12,11,1,9,11,8,9,13,4,9,38,10,4,12,13,3,11,13,14,14,14,4,11,38,8,3,12,22,5,18,14,82,41,18,14,17,32,12,3,18,12,3,11,13,13,12,14,4,11,37,9,3,12,11,1,8,11,8,11,13,4,10,36,10,3,13,2866
Srbsko a Černá Hora,891,CS,SCG,170,32,10,11,7,16,7,3,1,1,14,6,11,5,48,15,15,9,21,9,5,1,2,19,7,14,7,54,16,15,11,27,11,5,1,2,23,8,15,7,54,16,15,10,24,11,5,1,2,21,8,15,7,32,11,11,7,16,7,3,1,2,14,6,11,5,48,15,15,9,21,9,5,1,2,19,7,14,7,51,15,15,10,22,9,5,1,2,19,7,14,7,51,15,15,10,23,9,5,1,2,19,8,14,7,52,15,15,10,23,10,5,1,2,19,8,15,7,51,15,15,10,23,10,5,1,2,19,8,14,7,44,15,14,8,21,9,5,1,2,18,6,14,7,55,16,15,10,24,11,5,1,2,20,8,15,7,46,15,14,8,21,9,5,1,2,19,7,14,7,32,12,11,7,17,8,3,1,2,14,6,12,5,46,15,14,8,21,9,5,1,2,19,7,14,7,55,15,15,10,23,10,5,1,2,20,8,15,7,2701
Bosna a Hercegovina,070,BA,BIH,153,39,5,2,6,15,13,7,5,0,42,8,9,2,36,4,2,4,17,10,7,4,0,43,7,10,1,36,7,0,4,16,9,7,5,0,47,6,10,1,35,7,0,4,15,9,7,5,0,46,6,10,1,39,4,2,6,15,11,7,5,0,41,8,10,3,35,4,1,4,16,11,7,5,0,43,7,10,1,34,5,1,4,16,11,7,5,0,44,7,10,1,34,5,1,4,16,11,7,5,0,44,7,10,1,33,7,0,4,15,10,7,5,0,45,7,9,1,34,7,1,4,16,11,7,5,0,44,7,9,1,37,5,2,4,17,10,7,4,0,43,7,10,1,35,7,0,4,15,9,7,5,0,46,7,10,1,36,5,2,4,17,10,7,4,0,42,7,10,1,39,4,2,6,15,11,7,5,0,42,8,9,3,36,4,2,4,17,10,7,4,0,43,6,10,1,33,7,0,4,15,9,7,5,0,44,7,10,1,2340
Velká Británie a Severní Irsko,826,GB,GBR,922,223,45,31,13,39,37,33,44,17,131,40,73,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,46,31,12,38,36,32,43,17,135,39,69,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,45,31,13,38,35,30,43,18,129,36,67,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290
Řecko,300,GR,GRC,150,19,5,4,5,6,5,3,4,5,36,22,32,2,9,1,2,3,7,6,4,3,2,31,16,38,1,9,0,1,4,7,6,4,4,3,27,15,39,1,10,0,1,4,7,6,4,4,2,28,14,41,1,18,5,3,5,7,5,3,4,5,35,22,31,2,9,1,2,3,7,6,4,3,2,31,16,38,1,9,1,2,3,7,6,4,3,2,31,15,37,1,9,1,2,3,7,6,4,3,2,31,15,36,1,12,0,2,4,7,6,4,3,2,31,14,39,1,9,1,2,3,7,6,5,3,2,30,15,39,1,14,2,3,5,7,6,4,3,3,34,18,38,2,11,0,2,4,7,6,4,4,2,28,14,40,1,12,2,2,4,8,6,4,3,2,30,16,38,1,18,5,3,5,8,5,3,4,4,35,22,32,1,10,2,2,3,7,6,4,3,2,30,16,38,1,11,0,2,4,7,6,4,4,2,31,14,39,1,2054
Sýrie,760,SY,SYR,71,19,4,14,8,21,5,8,5,2,31,8,19,6,12,5,11,7,19,7,8,1,1,25,6,19,4,13,2,12,3,17,6,7,1,1,31,6,16,4,14,2,11,3,16,7,8,1,1,31,6,17,3,17,4,15,9,21,5,8,5,2,30,8,19,6,12,5,11,7,19,7,7,1,1,24,6,19,4,12,4,11,7,19,7,7,1,1,24,6,20,4,13,4,11,7,19,7,7,1,1,24,6,20,4,16,3,11,4,16,7,7,1,1,25,6,18,3,14,4,11,5,17,7,7,1,1,24,6,18,4,14,3,14,7,20,6,8,2,1,26,7,17,4,14,3,11,4,16,7,8,1,1,29,5,17,3,15,4,14,7,20,7,8,1,1,24,7,18,4,16,4,15,10,21,5,8,5,2,28,8,19,6,15,4,12,7,19,7,8,1,1,26,6,18,4,16,3,11,4,16,7,8,1,1,26,5,16,3,2040
Makedonie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,9,3,50,1,9,2,2,19,16,34,7,31,7,7,0,48,1,5,1,2,21,14,34,7,33,7,7,0,49,1,6,1,2,23,14,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,9,3,50,1,8,2,2,20,16,34,7,30,6,8,3,51,1,7,1,2,19,16,34,7,30,5,8,3,49,1,7,1,2,19,16,33,7,32,6,9,2,48,1,7,1,2,19,15,32,7,32,6,9,2,48,1,7,1,2,20,16,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,8,2,50,1,6,1,2,22,14,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,8,2,49,1,7,1,2,21,15,32,7,1833
Španělsko,724,ES,ESP,455,24,11,8,5,8,7,6,7,0,47,14,15,5,15,8,6,3,6,8,5,7,2,29,8,9,4,16,5,4,2,4,5,4,6,1,22,8,9,2,16,5,4,2,4,5,4,6,1,24,8,9,2,24,11,8,5,8,5,6,7,1,47,13,14,5,17,8,5,2,6,8,4,7,2,28,8,9,4,15,7,5,2,6,8,4,7,2,26,9,10,4,16,7,5,2,6,6,4,7,3,27,9,10,4,16,5,4,2,6,6,4,6,1,25,8,9,3,16,6,5,2,6,6,4,6,2,28,8,9,4,18,8,6,3,7,7,6,7,2,32,7,10,5,17,5,4,2,5,6,4,6,1,22,9,9,2,19,8,6,3,7,8,5,7,2,29,7,9,5,24,12,8,5,8,5,6,6,1,46,12,14,5,16,8,6,3,6,8,5,7,2,30,7,10,4,16,5,4,2,6,6,4,6,1,24,8,9,3,1798
Turecko,792,TR,TUR,214,33,10,10,5,18,14,11,11,3,26,12,16,9,16,6,5,5,18,8,5,4,3,12,5,8,8,13,5,6,4,17,6,6,3,2,6,4,8,5,14,5,5,4,17,5,6,3,3,6,4,8,5,33,10,12,5,19,12,13,9,3,28,11,16,10,15,6,5,5,19,7,5,4,3,10,5,8,6,16,6,6,5,19,7,5,4,3,9,5,9,6,16,6,6,5,20,5,5,4,2,9,5,8,6,17,7,6,5,19,4,5,4,2,9,5,7,5,17,6,6,5,20,4,4,4,2,10,4,8,5,20,6,7,4,18,7,6,5,3,8,5,8,7,15,6,5,4,16,5,5,4,3,7,4,8,5,18,6,8,4,18,7,5,4,3,10,5,8,7,29,10,13,5,19,12,12,8,3,30,11,16,10,18,6,7,6,17,8,5,4,3,11,5,8,7,15,7,5,5,17,5,5,4,3,8,5,8,6,1787
Srbsko,688,RS,SRB,194,55,2,9,14,26,6,4,2,6,32,6,6,8,21,0,7,14,12,3,3,0,3,16,5,7,6,15,1,9,11,11,4,5,0,0,18,4,9,4,18,0,9,11,11,4,6,0,1,17,4,8,4,51,2,9,14,26,6,4,2,6,31,6,6,8,20,0,7,14,12,3,3,0,3,16,5,7,6,20,0,7,15,12,3,3,0,3,16,5,7,6,19,0,7,15,12,3,3,0,3,19,5,6,6,17,0,7,13,11,2,5,0,3,21,5,6,6,17,0,7,14,12,2,4,0,3,21,5,6,5,23,1,7,14,12,6,3,0,3,18,4,8,6,17,0,8,11,9,4,5,0,2,19,5,7,4,23,1,8,14,12,4,3,0,1,16,5,8,6,49,2,9,14,26,5,4,2,6,33,6,6,8,23,0,7,14,12,4,3,0,3,17,5,8,6,16,0,7,12,11,2,5,0,3,19,4,7,4,1770
Čína,156,CN,CHN,224,37,5,4,2,24,2,3,4,4,15,6,12,2,33,5,4,1,24,1,2,2,4,9,2,7,2,26,5,5,1,23,0,2,4,3,6,2,7,2,26,5,5,1,22,0,2,4,3,6,2,7,2,37,5,4,2,23,2,3,4,4,15,6,10,2,33,5,4,1,23,0,2,2,3,9,2,7,2,32,5,4,1,23,0,2,2,3,9,2,7,2,33,5,4,1,23,0,2,2,3,9,2,7,2,28,5,5,1,22,0,2,1,3,7,2,7,2,32,5,4,1,23,0,2,2,3,9,2,7,2,30,6,4,2,24,1,2,3,4,12,4,9,2,27,5,5,1,22,0,2,4,3,6,2,6,2,33,6,4,2,24,1,2,2,5,10,3,8,2,37,5,4,2,23,1,2,4,4,14,6,9,2,34,6,4,2,24,1,2,2,5,10,3,8,2,26,5,5,1,22,0,2,4,3,6,2,7,2,1550
Litva,440,LT,LTU,84,14,3,12,4,6,6,2,3,17,20,2,4,1,17,4,14,4,3,6,3,2,18,15,0,1,1,14,4,9,3,3,4,3,2,23,16,0,1,1,15,4,9,3,3,4,3,2,23,16,0,1,1,14,3,12,4,5,5,2,3,17,20,2,3,1,15,4,13,3,3,5,3,2,18,16,0,1,1,15,4,14,3,3,5,3,2,18,16,0,1,1,15,4,14,3,3,5,3,2,18,16,0,1,1,16,4,11,3,3,4,3,2,18,15,0,1,1,15,4,13,3,3,4,3,2,18,15,0,1,1,19,4,14,6,3,6,3,2,19,17,0,1,1,15,4,9,3,3,4,2,2,23,15,0,1,1,18,4,14,4,3,6,3,2,19,16,0,1,1,17,3,13,4,5,5,2,3,17,20,2,3,0,18,4,14,4,3,6,3,2,18,15,0,1,1,16,4,11,3,3,4,2,2,18,15,0,1,1,1388
Tunisko,788,TN,TUN,114,39,3,9,8,18,7,9,3,2,20,11,18,6,24,4,4,3,9,4,6,3,1,11,3,6,1,16,6,4,2,4,4,4,0,0,7,0,5,1,15,6,4,2,5,2,4,0,0,7,1,5,1,40,2,9,8,18,7,8,3,1,17,9,19,6,22,3,4,3,8,4,6,3,1,9,3,6,1,23,3,4,2,8,4,5,2,1,9,3,6,1,24,5,4,2,8,3,4,2,0,7,3,6,1,20,4,4,2,7,3,4,2,0,6,3,6,1,22,5,4,2,8,3,4,2,0,6,3,6,1,26,3,5,5,12,4,5,5,0,10,4,8,1,17,6,4,2,5,2,4,0,0,6,1,5,1,26,4,4,4,11,4,6,4,1,10,4,7,1,39,3,10,7,17,7,8,3,1,13,9,19,5,25,4,3,3,10,4,6,4,1,10,4,7,1,18,4,4,2,7,2,4,1,0,6,2,5,1,1331
Uzbekistán,860,UZ,UZB,627,67,2,18,9,5,4,5,4,4,8,7,1,0,19,3,15,4,5,3,8,2,3,6,3,0,0,10,1,12,5,1,1,7,4,2,7,1,1,0,11,1,13,5,1,1,7,4,3,7,1,1,0,69,2,19,8,6,4,5,4,4,9,7,1,0,21,2,14,6,5,3,8,2,3,5,3,0,0,21,2,14,6,5,3,8,2,3,6,3,0,0,19,3,13,6,7,3,8,3,3,7,3,0,0,16,1,16,5,6,3,6,4,3,7,1,1,0,15,1,13,6,8,3,6,3,3,7,3,0,0,27,0,18,4,3,3,7,2,4,4,4,0,0,11,0,13,5,3,3,7,4,2,6,1,1,0,27,0,18,4,4,3,8,2,2,5,4,0,0,77,0,18,8,6,5,5,4,3,8,7,1,0,21,3,19,5,5,3,8,2,1,6,4,0,0,13,2,15,5,4,3,7,4,2,8,1,1,0,1300
Egypt,818,EG,EGY,76,16,2,3,5,13,5,6,12,2,23,6,20,6,16,3,1,5,9,4,6,6,2,7,7,10,3,10,3,2,3,7,4,5,3,1,6,9,5,2,11,3,2,3,7,4,4,3,1,7,9,5,3,16,2,3,5,13,5,5,13,2,22,6,20,4,15,3,1,4,8,4,7,6,2,7,7,10,3,14,3,1,4,8,5,8,6,2,9,7,10,3,13,3,1,4,8,3,8,6,1,9,7,9,3,13,3,2,3,7,3,6,3,1,9,7,6,2,12,3,2,3,7,3,7,5,1,9,7,9,2,16,3,1,6,9,4,8,6,1,8,6,13,1,10,3,2,3,7,4,5,3,1,8,8,6,2,15,3,1,5,9,4,8,5,2,9,7,11,3,17,2,3,5,13,5,5,14,2,22,6,20,4,15,3,1,5,9,4,8,5,2,9,7,11,3,12,3,2,3,8,4,5,4,1,8,8,6,1,1294
