Severní Makedonie,807,MK,MKD,145,27,14,9,2,55,4,8,8,3,28,21,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,9,2,54,4,8,8,3,27,20,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,9,3,50,1,9,4,3,21,16,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,9,3,50,1,9,2,3,20,15,34,7,24,12,9,2,56,4,8,7,2,26,21,37,9,32,5,9,3,50,1,9,2,3,21,16,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1242
Irsko,372,IE,IRL,192,21,8,9,3,7,6,1,3,5,22,7,9,6,16,5,13,4,4,1,2,3,3,10,2,8,3,13,6,12,3,3,0,4,3,2,9,3,6,2,14,6,12,3,3,0,4,3,2,9,3,6,2,20,8,9,3,7,6,1,3,5,21,7,9,6,14,5,13,4,4,0,3,3,3,10,2,6,3,14,5,13,4,4,0,3,3,3,10,2,6,3,14,5,12,4,3,0,3,3,3,9,3,5,3,15,6,12,3,3,0,3,3,3,9,3,5,3,15,6,12,4,3,0,4,3,3,9,3,5,3,15,5,13,4,5,2,1,3,3,15,3,8,6,14,6,12,3,3,0,4,3,3,10,3,5,2,16,5,13,4,4,2,1,3,3,12,2,8,5,20,9,9,3,7,6,1,3,5,21,7,8,6,16,5,13,4,4,1,1,3,3,12,2,8,4,15,6,12,3,3,0,3,3,3,9,3,5,2,1241
Belgie,056,BE,BEL,89,31,7,4,3,5,5,8,2,2,10,2,3,2,23,7,4,3,7,5,6,1,2,7,1,2,3,18,6,4,4,7,5,5,1,2,6,1,3,3,18,7,4,4,6,5,5,1,2,5,1,3,3,31,7,4,3,6,5,8,2,2,10,1,3,2,24,7,4,3,7,5,6,1,2,6,1,2,3,22,7,4,3,7,5,6,1,2,6,1,2,3,21,7,4,4,6,5,5,1,2,5,1,2,3,20,7,4,4,6,5,5,1,2,6,1,2,3,20,7,4,4,6,5,5,1,2,5,1,2,3,26,8,4,3,7,5,7,1,2,9,2,2,2,19,7,4,4,6,5,5,1,2,5,1,3,3,23,7,4,3,7,5,6,1,2,9,2,2,3,30,7,4,3,6,5,8,2,2,10,1,3,2,23,7,4,3,7,5,6,1,2,8,1,2,3,20,7,4,4,6,5,5,1,2,6,1,3,3,1144
Čad,148,TD,TCD,34,16,4,9,2,7,2,14,2,3,21,3,7,1,10,3,9,1,6,4,11,2,2,10,4,4,1,9,4,9,0,8,3,10,3,1,8,2,4,0,9,4,9,0,7,3,10,3,1,7,3,4,0,16,4,9,2,7,2,13,2,3,20,2,7,1,10,3,10,1,6,4,11,2,2,9,3,4,0,10,3,10,1,6,4,11,2,2,9,3,4,0,11,3,10,0,6,4,11,2,2,9,3,4,0,9,4,9,0,6,3,11,2,1,9,3,4,0,9,4,9,0,6,3,11,2,2,9,3,4,0,11,2,9,1,6,4,10,2,3,11,4,4,1,9,4,9,0,6,3,11,3,1,8,3,4,0,11,2,9,1,6,4,10,2,3,10,4,4,1,15,5,9,3,7,3,13,2,3,19,3,6,1,10,2,9,1,6,4,11,2,2,10,4,4,1,9,4,9,0,6,3,11,3,1,9,3,4,0,1098
Švédsko,752,SE,SWE,161,23,2,21,1,13,0,0,1,5,10,2,5,1,22,1,12,1,15,2,0,0,3,7,1,3,0,10,2,2,4,11,2,0,0,3,8,0,4,2,10,2,2,1,12,2,0,0,3,8,0,3,1,23,2,20,1,13,0,0,1,5,10,2,5,1,22,1,9,1,15,2,0,0,3,7,1,3,0,18,1,8,1,15,2,0,0,3,8,1,3,0,19,1,7,1,15,2,0,0,3,8,1,3,0,10,1,2,1,13,2,0,0,3,8,0,3,0,18,1,7,1,15,2,0,0,3,8,0,3,0,25,1,17,1,16,2,0,0,4,9,1,6,0,11,2,2,1,12,2,0,0,3,8,0,3,0,24,1,19,1,16,2,0,0,4,8,1,6,0,23,2,20,1,13,0,0,1,5,10,2,6,1,23,1,19,1,15,2,0,0,4,8,1,5,0,10,1,2,1,13,2,0,0,3,8,0,3,0,1025
Kanada,124,CA,CAN,126,12,9,3,3,1,3,4,7,0,9,3,7,7,12,8,5,1,2,3,4,6,0,4,4,6,5,10,7,3,1,1,3,3,5,0,5,3,4,6,10,7,4,1,1,3,3,5,0,5,4,6,5,10,9,3,3,1,3,4,7,0,11,3,8,7,12,8,4,1,1,3,4,6,0,4,4,6,5,12,8,4,1,1,3,4,5,0,5,4,6,5,12,7,4,1,1,3,4,5,0,5,4,6,5,12,7,4,1,1,3,4,5,0,5,4,6,5,12,7,4,1,1,3,4,5,0,5,4,6,5,12,8,4,2,1,3,4,6,0,4,4,7,6,10,7,4,1,1,3,4,5,0,6,4,5,5,13,8,4,2,1,3,4,6,0,4,4,7,6,10,9,3,3,1,3,4,7,0,9,3,8,7,12,9,5,2,2,3,4,6,0,4,4,7,6,11,7,4,1,1,3,4,5,0,4,4,6,5,953
Alžírsko,012,DZ,DZA,102,27,4,4,1,16,2,1,1,4,11,6,6,2,26,3,0,0,9,2,0,1,1,9,3,2,1,22,3,0,1,8,2,1,1,1,9,2,3,0,22,3,0,1,7,2,1,1,1,9,2,2,0,25,4,4,1,16,2,1,1,3,9,6,6,3,25,3,0,0,8,2,0,1,1,8,3,2,1,23,4,0,0,8,2,0,1,1,8,3,2,1,22,4,0,0,8,2,0,1,1,8,3,2,1,20,4,0,0,7,2,1,1,1,8,3,2,1,21,4,0,0,7,2,0,1,1,8,3,2,1,25,3,1,0,10,3,0,1,1,10,2,3,4,19,4,0,1,7,2,1,1,1,8,3,2,1,28,3,0,0,9,2,0,1,1,10,3,3,2,26,4,3,1,15,2,1,1,2,10,6,6,3,28,3,0,0,9,2,0,1,1,9,3,2,2,19,4,0,1,7,2,1,1,1,8,3,2,1,951
Lotyšsko,428,LV,LVA,99,23,4,7,5,5,0,1,0,13,4,1,4,3,17,10,5,1,4,0,1,1,9,3,0,1,2,8,11,5,2,4,1,1,0,8,20,0,1,1,8,10,5,2,4,1,1,0,8,13,0,1,1,22,4,8,5,5,0,1,0,13,5,1,4,3,8,10,5,1,4,0,1,1,9,3,0,1,2,9,10,5,1,4,1,1,0,9,3,0,1,2,9,10,4,1,4,1,1,0,8,3,0,1,2,8,10,5,1,4,1,1,0,8,3,0,1,1,8,10,4,1,4,1,1,0,8,3,0,1,2,18,10,7,3,5,0,1,0,9,3,0,1,2,8,10,5,2,4,1,1,0,8,3,0,1,1,18,10,7,3,4,0,1,1,9,3,0,1,2,21,4,9,5,5,0,1,0,13,5,1,4,3,18,10,6,2,4,0,1,1,9,3,0,1,2,8,10,5,1,4,1,1,0,8,3,0,1,1,865
Thajsko,764,TH,THA,183,23,8,17,5,12,2,0,4,2,6,5,3,2,12,5,7,2,7,2,1,1,0,6,2,2,3,7,4,10,3,2,1,2,1,0,4,1,2,2,8,4,9,3,2,1,2,1,0,4,1,1,2,23,8,15,6,12,2,0,4,2,6,5,3,2,11,5,7,2,6,2,1,1,0,6,2,2,3,11,4,7,1,7,2,1,1,0,6,2,2,3,12,4,6,2,4,1,1,1,0,6,1,2,3,10,4,7,2,3,1,1,1,0,5,1,2,2,12,4,6,2,3,1,1,1,0,5,1,2,2,13,9,8,2,10,2,1,2,0,6,3,2,3,8,3,7,3,2,1,2,1,0,4,1,1,2,14,6,6,2,7,2,1,2,0,6,2,2,3,21,7,14,6,12,2,0,4,1,7,5,3,2,13,5,8,2,7,2,1,2,0,6,2,2,3,10,3,7,3,3,1,1,1,0,5,1,2,2,846
Indie,356,IN,IND,220,17,3,4,3,5,4,1,3,3,39,3,20,2,5,1,1,3,4,1,1,1,0,13,2,6,2,7,0,2,3,3,2,1,1,0,8,0,6,1,7,0,1,3,3,3,1,1,0,9,1,6,1,18,3,3,3,5,3,1,3,3,32,3,18,2,5,1,1,3,4,1,1,1,0,12,2,6,2,5,1,1,3,4,1,1,1,0,13,3,6,1,6,1,1,3,3,2,1,1,0,11,3,6,1,6,1,0,3,4,2,1,1,0,9,2,6,1,5,1,1,3,4,1,1,1,0,10,3,6,1,5,0,0,3,3,1,1,1,0,14,3,9,2,6,0,0,2,3,2,1,1,0,9,1,7,1,4,1,0,3,3,0,1,1,0,13,4,8,2,18,2,2,3,4,3,1,3,3,29,3,15,2,4,1,1,3,4,0,1,1,0,13,3,7,2,6,0,0,3,4,2,1,1,0,10,1,6,1,783
Austrálie,036,AU,AUS,68,7,6,5,0,5,4,2,4,0,6,2,5,2,6,5,3,0,4,4,4,8,0,7,2,3,3,3,5,3,0,5,4,4,6,0,7,2,2,3,3,5,3,0,5,4,4,6,0,6,2,2,3,7,7,5,0,4,5,3,4,0,6,2,4,2,5,5,3,0,4,4,4,8,0,7,2,3,3,5,5,3,0,5,4,4,7,0,6,2,3,3,3,5,3,0,5,4,4,7,0,6,2,3,3,3,5,3,0,5,4,4,7,0,4,2,3,3,3,5,3,0,5,4,4,8,0,5,2,3,3,5,5,4,1,3,4,4,7,0,7,2,3,3,3,5,3,0,5,4,4,6,0,6,2,2,3,5,5,3,1,4,4,4,7,0,7,2,3,3,6,7,5,0,4,5,4,5,0,6,2,4,2,4,5,3,1,4,4,4,7,0,8,2,3,3,3,5,3,0,5,4,4,6,0,5,3,2,3,741
Kyrgyzstán,417,KG,KGZ,101,17,0,1,22,9,3,0,0,0,6,1,0,2,11,0,1,17,5,1,0,0,0,2,1,0,1,5,1,1,16,4,1,0,0,0,3,1,0,1,5,1,1,16,4,1,0,0,0,3,1,0,1,15,1,1,21,8,3,0,0,0,6,1,0,2,10,1,1,18,5,1,0,0,0,2,1,0,1,8,1,1,18,5,1,0,0,0,2,1,0,1,8,1,1,17,5,1,0,0,0,2,1,0,1,6,1,1,18,5,1,0,0,0,2,1,0,1,8,1,1,17,5,1,0,0,0,2,1,0,1,11,0,0,17,5,1,0,0,0,2,2,0,1,5,1,1,17,4,1,0,0,0,3,1,0,1,10,1,1,17,5,1,0,0,0,2,2,0,1,13,1,1,20,8,3,0,0,0,5,1,0,2,11,1,1,17,5,1,0,0,0,2,2,0,1,6,1,1,17,5,1,0,0,0,2,1,0,1,655
Portugalsko,620,PT,PRT,124,12,1,5,3,3,7,3,0,2,15,1,9,1,5,0,4,2,2,2,2,1,2,8,1,5,1,6,0,3,2,1,2,1,1,1,6,1,5,0,5,0,4,2,1,2,1,1,1,6,1,5,0,12,1,5,3,4,7,4,0,2,15,2,9,1,5,0,4,2,1,2,2,1,2,8,1,5,1,5,0,4,2,1,2,1,1,2,9,1,5,1,5,0,4,2,1,2,1,1,2,10,1,5,1,5,0,4,2,1,2,1,1,2,8,1,4,1,5,0,4,2,1,2,1,1,2,10,1,5,1,6,1,6,2,2,3,2,0,2,10,1,6,1,5,0,4,2,1,2,1,1,1,7,1,5,0,5,1,5,2,2,2,2,0,2,11,1,5,1,12,1,5,2,3,6,4,0,2,14,1,9,1,5,0,4,2,2,2,2,1,2,9,1,6,1,5,0,4,2,1,2,1,1,1,7,1,5,1,629
Afghánistán,004,AF,AFG,29,13,0,2,2,7,3,0,0,3,14,3,5,0,6,1,0,2,7,1,0,0,2,12,3,2,0,7,0,0,1,6,2,0,0,1,13,4,2,0,7,0,0,1,6,2,0,0,1,13,4,2,0,12,0,2,2,8,3,0,0,3,14,3,6,0,7,0,0,2,7,1,0,0,1,12,3,2,0,7,0,0,2,7,1,0,0,1,13,3,2,0,7,0,0,2,7,1,0,0,1,13,3,2,0,7,0,0,2,7,2,0,0,1,11,3,2,0,7,0,0,2,7,2,0,0,1,13,3,2,0,7,0,0,2,7,1,0,0,2,13,3,2,0,7,0,0,2,6,2,0,0,1,12,4,2,0,6,1,0,2,7,1,0,0,2,13,3,2,0,9,0,2,2,7,3,0,0,3,14,3,5,0,6,1,0,2,7,1,0,0,2,12,3,2,0,7,0,0,2,7,2,0,0,1,12,3,2,0,622
Irák,368,IQ,IRQ,35,6,0,3,1,8,1,1,6,1,19,0,3,2,7,0,2,1,7,1,1,4,1,9,0,3,0,9,1,1,1,8,1,1,0,0,8,0,3,0,9,1,1,1,7,1,1,0,0,9,0,3,0,6,0,2,1,8,1,1,6,1,18,0,3,2,9,0,2,1,7,1,1,4,1,9,0,2,0,9,0,1,1,7,1,1,4,1,9,0,3,0,9,0,1,1,7,1,1,4,0,9,0,3,0,9,1,1,1,7,1,1,2,0,8,0,3,0,9,1,1,1,7,1,1,4,0,9,0,3,0,9,0,2,1,8,1,1,4,1,10,0,4,0,9,2,1,1,7,1,1,2,0,9,0,3,0,8,0,2,1,8,1,1,4,1,9,0,4,0,6,0,2,1,9,1,1,6,1,17,0,3,1,8,0,2,1,7,1,1,4,1,9,0,3,0,9,1,1,1,7,1,1,2,0,8,0,2,0,617
Slovinsko,705,SI,SVN,51,9,2,2,3,2,1,2,2,1,13,1,6,1,8,2,1,3,3,2,2,2,0,7,1,7,2,6,2,0,2,2,2,1,1,0,7,1,5,2,6,2,0,2,2,2,1,1,0,8,1,5,2,9,2,2,3,2,0,2,2,1,13,1,6,1,8,2,1,3,3,2,2,2,0,7,1,7,2,8,2,1,3,3,2,2,2,0,7,0,7,2,6,2,0,3,3,2,2,2,0,7,0,7,1,6,2,0,3,3,2,1,1,0,9,0,5,2,6,2,0,3,3,2,1,1,0,7,0,6,2,8,4,1,2,2,2,2,2,0,7,1,7,2,6,2,0,3,2,2,1,1,0,9,1,5,2,8,3,1,3,2,2,2,2,0,7,1,7,2,9,2,2,3,2,0,2,2,0,13,1,6,1,8,3,1,3,3,2,2,2,0,7,1,7,2,6,2,0,3,2,2,1,1,0,9,0,5,2,604
Kosovo,095,XK,XXK,24,9,1,2,10,5,1,5,7,3,9,4,4,1,8,1,4,7,5,0,1,3,1,4,1,3,0,5,0,3,3,3,1,2,1,0,4,1,2,0,5,0,3,3,3,1,2,1,0,5,1,2,0,8,1,2,10,5,1,5,6,3,9,4,5,1,7,0,4,6,4,0,1,3,1,4,1,3,0,7,0,4,6,4,0,1,3,1,4,1,2,0,6,0,4,6,4,0,1,3,1,4,1,2,0,6,0,4,5,4,0,2,1,1,4,1,2,0,6,0,4,5,4,0,2,2,1,4,1,2,0,8,1,3,6,5,0,1,4,1,5,1,6,0,5,0,3,4,3,0,2,1,0,4,1,2,0,8,1,3,7,5,0,1,3,1,4,1,4,0,9,1,2,8,5,0,5,6,3,9,3,5,1,7,1,4,7,5,0,1,3,1,4,1,3,0,5,0,4,4,4,0,2,1,1,4,1,2,0,596
Švýcarsko,756,CH,CHE,46,6,9,3,4,5,5,2,1,2,3,0,2,0,7,5,1,6,1,5,2,1,1,4,0,3,2,7,3,1,5,1,4,1,1,1,5,0,3,1,7,3,1,5,1,4,1,1,1,5,0,3,1,6,9,3,4,5,5,2,1,2,3,0,2,0,7,5,1,6,1,5,2,1,1,5,0,3,2,7,4,1,7,1,5,2,1,1,5,0,3,2,7,4,1,7,1,4,2,1,1,5,0,3,2,8,3,1,6,2,4,1,1,1,5,0,3,2,8,3,1,6,2,4,1,1,1,5,0,3,2,6,6,1,5,2,5,2,0,1,4,0,3,1,7,3,1,5,1,4,1,1,1,5,0,3,1,6,5,1,5,1,5,2,1,1,4,0,3,2,6,9,2,4,5,5,2,1,1,3,0,2,0,6,5,1,5,1,5,2,1,1,4,0,3,2,7,2,1,5,2,4,1,1,1,6,0,3,1,593
Izrael,376,IL,ISR,111,26,3,1,2,11,0,3,2,0,9,2,3,1,11,1,0,2,3,0,2,1,0,3,1,1,1,9,0,2,4,4,1,3,1,0,4,0,1,1,11,1,1,3,4,1,3,1,0,3,0,1,1,26,2,1,2,11,0,3,2,0,9,1,3,2,11,1,0,2,3,0,2,1,0,3,1,1,1,11,1,0,3,3,1,2,1,0,3,1,1,1,10,1,0,3,3,1,3,1,0,3,1,1,1,11,1,0,3,4,1,3,1,0,5,1,1,1,10,1,0,3,3,1,3,1,0,3,1,1,1,20,2,0,2,3,0,3,1,0,4,1,1,1,10,1,1,3,4,1,3,1,0,3,1,1,1,14,1,0,2,3,0,3,1,0,3,1,1,1,27,3,1,2,11,0,3,2,0,9,1,3,2,13,1,0,2,3,0,3,1,0,3,1,1,1,10,1,1,3,4,1,3,1,0,4,1,1,1,575
Nigérie,566,NG,NGA,168,14,2,1,0,12,3,1,3,2,13,0,4,1,7,1,0,1,12,1,1,1,0,4,0,3,1,6,1,0,2,12,1,1,1,0,3,0,2,1,6,1,0,2,12,1,1,1,0,3,0,2,1,13,2,1,0,13,3,1,2,2,12,0,5,3,6,1,0,1,12,1,1,1,0,4,0,3,1,7,1,0,1,11,1,1,1,1,4,0,3,1,7,1,0,1,11,1,1,1,0,4,0,2,1,7,1,0,1,12,1,1,1,0,3,0,2,1,8,1,0,1,11,1,1,1,0,4,0,2,1,11,1,0,0,13,1,1,1,0,5,0,2,1,8,1,0,1,12,1,1,1,0,3,0,2,1,8,1,0,1,12,1,1,1,0,4,0,2,1,13,2,1,0,13,3,1,3,2,9,0,4,2,8,1,0,1,12,1,1,1,0,4,0,2,1,7,1,0,1,12,1,1,1,0,3,0,2,1,573
Kuba,192,CU,CUB,39,10,2,1,1,8,2,2,1,0,3,1,4,1,8,1,1,1,7,2,2,0,1,1,3,2,2,7,1,1,0,5,2,3,0,1,2,3,2,3,7,1,1,0,5,2,3,0,1,2,3,2,3,10,2,1,1,8,2,2,1,0,3,1,3,1,8,1,1,1,6,2,2,0,1,1,3,2,2,8,1,1,1,6,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,1,4,2,2,8,1,1,0,6,2,2,0,1,1,4,2,2,10,1,1,1,7,2,2,0,0,1,3,2,2,7,1,1,0,5,2,3,0,1,2,4,2,3,9,1,1,1,7,2,2,0,1,1,3,2,2,10,2,1,1,9,2,2,1,0,3,1,3,1,8,1,1,1,7,2,2,0,1,1,3,2,2,8,1,1,0,6,2,2,0,1,2,4,2,2,504
Gruzie,268,GE,GEO,99,17,3,1,4,3,1,1,2,4,4,1,2,1,10,2,1,5,1,1,0,1,0,4,1,2,0,7,2,2,6,2,1,0,1,0,3,0,3,0,7,2,2,6,2,1,0,1,0,3,0,3,0,18,3,1,4,3,1,1,2,4,4,1,2,1,10,2,1,5,1,1,0,1,0,4,1,2,0,9,2,1,5,1,1,0,1,0,4,1,2,0,9,2,1,5,1,1,0,1,0,4,0,3,0,9,2,1,5,1,1,0,1,0,4,0,3,0,9,2,1,5,1,1,0,1,0,4,0,3,0,11,2,6,5,2,1,0,1,0,5,1,2,0,7,2,1,6,1,1,0,1,0,4,0,3,0,10,2,2,5,1,1,0,1,0,5,1,2,0,15,3,2,4,3,1,0,1,3,5,1,2,1,11,2,2,5,1,1,0,1,0,5,1,2,0,8,2,1,5,1,1,0,1,0,4,0,3,0,497
Albánie,008,AL,ALB,24,9,1,1,1,3,2,1,2,4,4,2,3,5,6,2,1,1,3,1,2,1,1,2,0,2,4,8,4,1,1,2,1,2,1,1,2,1,1,4,8,4,1,1,3,1,2,1,1,2,1,1,4,9,1,2,1,3,2,1,2,3,4,1,3,5,6,4,1,1,3,1,2,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,7,4,1,1,3,1,2,1,1,2,1,2,4,8,4,1,1,3,1,2,1,1,2,1,2,4,7,2,1,1,4,1,1,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,1,4,7,2,1,1,3,1,2,1,1,1,0,2,4,11,2,2,1,3,2,1,2,3,3,1,3,5,7,2,1,1,3,1,2,1,1,2,0,2,4,7,4,1,1,3,1,2,1,1,2,1,1,4,486
Pákistán,586,PK,PAK,68,7,1,5,3,5,1,1,0,2,6,1,3,0,10,0,5,1,5,0,1,0,1,4,1,1,0,10,0,5,0,5,0,2,0,1,3,1,1,0,10,0,5,0,6,0,2,0,1,2,1,1,0,8,1,5,3,5,1,1,0,2,6,1,3,0,10,0,5,1,5,0,1,0,1,4,1,1,0,10,0,5,1,5,0,2,0,1,4,1,1,0,10,0,5,0,6,0,2,0,1,4,1,1,0,9,0,5,0,6,0,2,0,1,4,1,1,0,9,0,5,0,6,0,2,0,1,4,1,1,0,8,1,5,0,4,0,1,0,1,5,1,3,0,10,0,5,0,5,0,2,0,1,3,1,1,0,11,0,5,1,4,0,1,0,1,5,1,2,0,9,1,5,2,4,1,1,0,2,5,1,3,0,10,0,5,1,5,0,1,0,1,5,1,1,0,9,0,5,0,5,0,2,0,1,4,1,1,0,483
Peru,604,PE,PER,27,17,1,1,0,5,1,2,2,0,7,1,2,0,10,0,0,0,6,0,1,0,0,8,1,2,0,10,0,0,0,5,0,1,0,0,8,1,2,1,9,0,0,0,5,0,1,0,0,8,1,2,0,16,1,1,0,5,1,2,1,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,10,0,0,0,5,0,1,0,0,7,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,7,1,2,0,11,0,0,0,6,1,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,10,0,0,0,6,1,1,0,0,8,1,2,0,16,1,1,0,5,1,2,1,0,7,1,2,0,10,0,0,0,6,0,1,0,0,8,1,2,0,9,0,0,0,5,0,1,0,0,8,1,2,0,463
Jižní Afrika,710,ZA,ZAF,39,7,1,1,3,1,1,0,1,0,9,4,1,4,6,3,0,2,2,1,0,0,0,9,2,1,2,4,3,0,1,2,1,1,0,0,8,2,1,2,4,4,0,1,2,1,1,0,0,8,2,1,2,6,1,1,2,1,1,0,1,0,9,4,1,5,6,3,0,2,1,1,0,0,0,9,2,1,2,6,3,0,2,1,1,0,0,0,9,2,1,2,5,3,0,2,1,1,0,0,0,9,2,1,2,5,4,0,2,1,1,1,0,0,8,2,1,2,5,3,0,2,1,1,1,0,0,8,2,1,2,8,3,0,2,2,1,0,0,0,8,3,1,2,4,4,0,1,2,1,1,0,0,8,2,1,2,9,3,0,2,2,1,0,0,0,10,2,1,2,7,1,1,2,1,1,0,0,0,9,4,1,5,6,3,0,2,2,1,0,0,0,9,2,1,2,5,4,0,2,1,1,1,0,0,8,2,1,2,452
Japonsko,392,JP,JPN,82,14,0,2,0,3,1,2,2,0,7,1,2,0,9,0,0,0,3,0,2,2,0,6,2,1,1,6,0,0,0,2,0,2,2,1,6,1,1,1,6,0,0,0,2,0,2,2,1,6,1,1,1,13,0,2,0,3,1,2,2,0,8,1,2,0,8,0,0,0,3,0,2,2,0,6,2,1,1,8,0,0,0,3,0,2,2,0,5,2,1,1,8,0,0,0,3,0,2,2,1,5,2,1,1,8,0,0,0,3,0,2,2,1,6,1,1,1,8,0,0,0,3,0,2,2,1,5,1,1,1,11,0,0,0,3,1,2,2,0,6,2,1,1,7,0,0,0,2,0,2,2,1,6,1,1,1,10,1,0,0,3,0,2,2,0,5,2,1,1,13,0,2,0,3,1,2,2,0,6,1,2,0,10,1,0,0,3,0,2,2,0,6,2,1,1,8,0,0,0,3,0,2,2,1,6,1,1,1,425
Libanon,422,LB,LBN,38,7,0,2,1,11,2,2,1,1,0,5,1,1,4,1,2,1,7,2,1,4,1,0,2,1,0,1,1,2,1,6,2,1,3,1,0,2,0,0,1,1,2,1,6,2,1,4,1,0,2,1,0,7,0,2,1,11,2,2,1,1,0,5,1,1,4,1,2,1,7,2,1,4,1,0,2,1,0,4,1,2,1,7,2,1,4,1,0,1,1,0,4,1,2,1,7,2,1,4,1,0,2,1,0,2,1,2,1,6,2,1,4,1,0,2,1,0,3,1,2,1,7,2,1,4,1,0,2,1,0,5,1,2,1,7,2,3,2,1,0,2,1,0,1,1,2,1,6,2,1,4,1,0,2,1,0,4,1,2,1,7,2,3,3,1,0,2,1,0,7,0,2,1,11,2,2,1,1,0,4,1,2,4,1,2,1,7,2,2,3,1,0,2,1,0,2,1,2,1,6,2,1,4,1,0,2,1,0,420
Alandy,248,AX,ALA,6,4,1,0,1,4,1,1,0,0,4,0,3,0,5,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,5,0,6,0,0,6,4,1,2,0,0,6,1,4,0,4,1,0,1,4,1,1,0,0,4,0,3,0,5,0,0,4,5,1,2,0,0,6,1,3,0,5,0,0,4,5,1,2,0,0,6,1,3,0,5,0,0,5,5,1,2,0,0,6,1,3,0,5,0,0,6,5,1,2,0,0,6,1,4,0,5,0,0,6,5,1,2,0,0,6,1,3,0,4,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,4,0,4,0,0,4,4,1,2,0,0,6,1,3,0,4,1,0,1,4,1,1,0,0,4,0,3,0,4,0,0,4,4,1,2,0,0,6,1,3,0,6,0,0,6,4,1,2,0,0,6,1,4,0,420
Ázerbájdžán,031,AZ,AZE,139,15,2,5,5,7,0,1,3,2,7,4,3,0,4,1,1,4,4,0,1,1,0,1,4,0,0,3,0,2,4,4,0,1,0,0,2,4,0,0,5,0,2,4,4,0,1,0,0,2,4,0,0,14,2,4,5,5,1,2,2,2,7,4,2,0,4,1,1,4,4,0,1,1,0,1,4,0,0,4,1,1,3,4,0,1,0,0,2,4,0,0,5,1,1,3,4,0,1,0,0,3,4,0,0,4,1,1,4,4,0,1,0,0,2,3,0,0,5,1,1,3,4,0,1,0,0,2,4,0,0,6,1,1,4,4,0,2,1,0,1,3,1,0,4,1,1,4,4,0,1,0,0,2,3,0,0,4,1,1,4,3,0,2,1,0,1,3,1,0,14,2,3,5,5,1,1,1,1,6,3,2,0,5,1,1,4,3,0,1,1,0,1,3,0,0,4,1,1,4,4,0,1,0,0,2,3,0,0,420
Dánsko,208,DK,DNK,69,9,2,1,0,3,7,0,0,1,5,0,6,1,7,1,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,1,4,1,6,0,1,1,4,1,0,0,1,3,1,4,1,9,2,1,0,3,7,0,0,1,4,0,6,1,7,0,1,1,4,4,0,0,2,3,0,4,1,7,0,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,2,1,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,6,0,1,1,4,2,0,0,1,3,0,4,1,7,0,1,1,4,4,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,7,1,1,1,4,2,0,0,2,3,0,4,1,9,2,1,0,3,7,0,0,1,4,0,4,1,7,1,1,1,4,2,0,0,2,3,0,4,1,6,0,1,1,4,1,0,0,1,3,0,4,1,418
